State,County,NUM_LICENSED_BEDS,Population with public coverage,Percent of pop w/no health insurance,margin of error,PopEstimate2018,Heart Disease Mortality,adjusted_beds,inquiry1,inquiry2
AL,Lee,314,43481,7.9,0.8,163941,318.8,191.5323196,40.35443038,1.664471045
AL,Limestone,102,28534,9.6,1,96174,423.3,106.0577703,44.09375,3.991221
AL,Lowndes,NA,5326,9.2,1.5,9974,392,NA,42.60869565,NA
AL,Macon,143,8744,8.1,1.2,18439,537.9,775.5301264,66.40740741,0.693590077
AL,Madison,1241,102618,8.9,0.5,366519,385.9,338.5909052,43.35955056,1.139723466
AL,Marengo,99,8567,9.6,2,19066,611.7,519.2489248,63.71875,1.178047697
AL,Marion,120,12059,10.5,2.1,29763,553.3,403.1851628,52.6952381,1.372322325
AL,Marshall,150,37084,13.1,1,96109,467.9,156.0727924,35.71755725,2.997960073
AL,Mobile,1930,155164,11.6,0.5,413757,446.3,466.4573651,38.47413793,0.956786265
AL,Monroe,94,9582,13.4,2.2,21067,386.7,446.1954716,28.85820896,0.866660521
AL,Montgomery,1204,86244,10.5,0.6,225763,329,533.3026227,31.33333333,0.616910523
AL,Morgan,273,42078,10.2,0.9,119089,470.3,229.2403161,46.10784314,2.051558853
AL,Perry,NA,4784,12.7,3.1,9140,513.7,NA,40.4488189,NA
AL,Pickens,NA,8467,8.5,1.4,19938,453,NA,53.29411765,NA
AL,Pike,97,11817,9.6,1.8,33338,419.6,290.9592657,43.70833333,1.442126268
AL,Randolph,15,9073,10.5,2,22725,569.8,66.00660066,54.26666667,8.63247
AL,Russell,128,23512,13.4,1.4,57781,400.8,221.5261072,29.91044776,1.809267563
AL,Shelby,286,50846,6.8,0.6,215707,299.9,132.5872596,44.10294118,2.261906619
AL,St. Clair,40,27106,8.8,1.2,88690,435.3,45.10091329,49.46590909,9.65168925
AL,Sumter,33,5918,15.5,2.9,12691,434.6,260.0267906,28.03870968,1.671366242
AL,Talladega,290,34250,9.3,0.9,79828,513.1,363.2810543,55.17204301,1.412405062
AL,Tallapoosa,127,18150,8.1,1.2,40497,460.1,313.6034768,56.80246914,1.467139346
AL,Tuscaloosa,1099,62124,7.5,0.5,208911,449.2,526.0613371,59.89333333,0.853892823
AL,Walker,267,26254,11,1,63711,769,419.0799077,69.90909091,1.834972247
AL,Washington,25,7591,9.6,2.1,16378,427.8,152.6437905,44.5625,2.80260336
AL,Wilcox,30,5891,11.6,2.1,10627,547.1,282.2998024,47.1637931,1.938010567
AL,Winston,49,10262,12.3,1.9,23660,451.7,207.1005917,36.72357724,2.181065714
AR,Arkansas,74,9137,6.8,1.3,17769,451.6,416.455625,66.41176471,1.084389243
AR,Ashley,33,10604,9.2,1.5,20046,435.3,164.6213708,47.31521739,2.644249636
AR,Baxter,268,21767,5.6,1,41619,326.8,643.9366635,58.35714286,0.507503328
AR,Benton,342,76716,9.4,0.5,272608,328.2,125.4548656,34.91489362,2.616080281
AR,Boone,174,18210,6.8,1.5,37480,528.9,464.2475987,77.77941176,1.139262759
AR,Bradley,33,5643,11.5,2.3,10897,533.5,302.8356428,46.39130435,1.761681667
AR,Calhoun,NA,2442,8.2,2.6,5277,460,NA,56.09756098,NA
AR,Carroll,40,13213,12.4,1.7,28223,454,141.7283776,36.61290323,3.2033105
AR,Chicot,35,5967,8.9,1.6,10438,466.2,335.3132784,52.38202247,1.3903416
AR,Clark,25,8271,8.6,1.4,22061,442.7,113.3221522,51.47674419,3.90656188
AR,Clay,25,8543,6.9,1.4,14847,479.7,168.3841854,69.52173913,2.84884236
AR,Cleburne,25,12587,9.2,1.4,24965,294.2,100.1401963,31.97826087,2.9378812
AR,Cleveland,NA,4021,5.1,1.6,8018,426.7,NA,83.66666667,NA
AR,Columbia,49,10697,8.2,1.6,23537,452.6,208.182861,55.19512195,2.174050245
AR,Conway,25,10188,7.4,1.3,20891,428.4,119.6687569,57.89189189,3.57988176
AR,Craighead,730,44014,9.3,0.8,108558,465,672.4515927,50,0.691499589
AR,Crawford,103,27700,8.9,1.3,63406,382.6,162.4451945,42.98876404,2.355255883
AR,Crittenden,65,22693,9.1,1,48342,400.1,134.4586488,43.96703297,2.975636031
AR,Cross,25,7902,7.3,1.1,16676,458.2,149.916047,62.76712329,3.05637728
AR,Dallas,25,3398,8,2.7,7182,434.5,348.0924534,54.3125,1.2482316
AR,Desha,50,6733,7.3,1.6,11512,804.3,434.3293954,110.1780822,1.85182032
AR,Drew,49,8026,5.9,1.5,18328,416.3,267.350502,70.55932203,1.557131918
AR,Faulkner,357,40170,9.7,0.9,124806,360.9,286.0439402,37.20618557,1.261694269
AR,Franklin,25,8990,5.8,1.6,17810,456.1,140.3705783,78.63793103,3.2492564
AR,Fulton,25,6499,9.1,2.7,12269,389.9,203.7655881,42.84615385,1.91347324
AR,Garland,562,48612,11.2,1,99154,447.4,566.7950864,39.94642857,0.789350527
AR,Grant,NA,7485,5,1.2,18188,392.3,NA,78.46,NA
AR,Greene,129,20271,6.9,1.4,45325,428.8,284.6111418,62.14492754,1.506617054
AR,Hempstead,79,10320,9.9,1.7,21741,496.9,363.3687503,50.19191919,1.36748138
AR,Hot Spring,72,15504,8.5,1.7,33701,420.1,213.6435121,49.42352941,1.966359736
AR,Howard,20,6700,9.1,2,13341,546.8,149.9137996,60.08791209,3.6474294
AR,Independence,235,15933,8.6,1.5,37678,482.9,623.7061415,56.15116279,0.774242817
AR,Izard,25,6991,7.2,1.2,13593,387.7,183.9181932,53.84722222,2.10800244
AR,Jackson,NA,8030,8.1,1.6,16811,478.2,NA,59.03703704,NA
AR,Jefferson,471,31281,7.9,0.9,68114,492.2,691.4877999,62.30379747,0.711798531
AR,Johnson,90,11631,11,1.6,26742,435.9,336.5492484,39.62727273,1.2952042
AR,Lafayette,NA,3485,10,1.9,6682,412.6,NA,41.26,NA
AR,Lawrence,25,8107,7.8,1.2,16434,453.1,152.1236461,58.08974359,2.97849816
AR,Lee,NA,4696,8.5,2.2,8985,477.4,NA,56.16470588,NA
AR,Lincoln,NA,4550,7.4,2,13383,537.1,NA,72.58108108,NA
AR,Little River,25,5903,6.2,1.6,12326,470.7,202.8233003,75.91935484,2.32073928
AR,Logan,41,10524,8,1.3,21737,420.5,188.6184846,52.5625,2.229367927
AR,Lonoke,NA,25826,7.6,1.1,73657,354.2,NA,46.60526316,NA
AR,Madison,NA,7325,11.4,2,16481,588.3,NA,51.60526316,NA
AR,Marion,NA,9271,7,1.7,16722,428.2,NA,61.17142857,NA
AR,Miller,62,19514,10.7,1.4,43592,408.2,142.2279317,38.14953271,2.870041032
AR,Mississippi,124,21690,7.9,1.4,41239,554.4,300.6862436,70.17721519,1.843782387
AR,Monroe,NA,4009,9.9,1.9,6900,618.3,NA,62.45454545,NA
AR,Montgomery,NA,4891,12,2.9,8924,425.2,NA,35.43333333,NA
AR,Nevada,NA,4447,8.7,2.2,8326,467.8,NA,53.77011494,NA
AR,Newton,NA,3565,7.5,2.3,7805,519.1,NA,69.21333333,NA
AR,Ouachita,98,12323,7.4,1.6,23606,441.1,415.148691,59.60810811,1.062510878
AR,Perry,NA,5240,6,2,10352,400.6,NA,66.76666667,NA
AR,Phillips,155,11122,9.3,2.5,18029,396.3,859.725997,42.61290323,0.460960819
AR,Pike,NA,5294,10.3,2.3,10673,482.3,NA,46.82524272,NA
AR,Poinsett,NA,12888,11.5,1.4,23974,549.7,NA,47.8,NA
AR,Polk,65,11111,11.6,1.7,20049,474.1,324.205696,40.87068966,1.462343215
AR,Pope,170,26373,9.1,1.3,64000,398.7,265.625,43.81318681,1.500988235
AR,Prairie,NA,3666,8.2,2,8074,400.4,NA,48.82926829,NA
AR,Pulaski,4068,152310,8.6,0.5,392680,377.8,1035.958032,43.93023256,0.364686588
AR,Randolph,50,9259,8.5,1.7,17948,442.7,278.5825719,52.08235294,1.58911592
AR,Saline,257,42475,6.1,0.7,121421,358.7,211.6602565,58.80327869,1.694696992
AR,Scott,24,5825,8.8,2.1,10319,442.6,232.5806764,50.29545455,1.902995583
AR,Searcy,NA,4438,7.3,2,7958,381.5,NA,52.26027397,NA
AR,Sebastian,1081,52993,10.7,0.7,127753,400.1,846.1640823,37.39252336,0.472839735
AR,Sevier,NA,7181,14.7,2.4,17139,460.6,NA,31.33333333,NA
AR,Sharp,NA,10658,7.1,1.3,17366,453.4,NA,63.85915493,NA
AR,St. Francis,118,12595,10.3,1.9,25439,509.6,463.8547113,49.47572816,1.098619864
AR,Stone,25,7279,7.5,2,12457,330.4,200.6903749,44.05333333,1.64631712
AR,Union,166,16954,10.6,1.6,39126,422.8,424.2703062,39.88679245,0.996534506
AR,Van Buren,25,9513,10.5,1.8,16603,351.4,150.5751973,33.46666667,2.33371768
AR,Washington,1068,68734,11.5,0.8,236961,620.7,450.7070784,53.97391304,1.377169407
AR,White,465,32307,9,1,78727,498.6,590.6486974,55.4,0.844156606
AR,Woodruff,NA,3785,6.1,1.9,6490,538.7,NA,88.31147541,NA
AR,Yell,76,9273,8.5,1.6,21535,449.6,352.9138612,52.89411765,1.273965263
AZ,Apache,162,35154,23.5,1,71818,272.9,225.5701913,11.61276596,1.209822975
AZ,Cochise,160,58384,8.2,0.7,126770,305,126.2128264,37.19512195,2.416553125
AZ,Coconino,418,43905,12.3,0.8,142854,245.7,292.6064373,19.97560976,0.839694445
AZ,Gila,50,30158,11.3,1.6,53889,327.1,92.78331385,28.94690265,3.52541838
AZ,Graham,176,14907,8.5,1.5,38072,286.2,462.281992,33.67058824,0.619102636
AZ,Greenlee,NA,3013,7.3,2,9483,304.8,NA,41.75342466,NA
AZ,La Paz,42,12391,14.5,2.3,21098,351.3,199.071002,24.22758621,1.764697
AZ,Maricopa,11593,1432684,11.1,0.2,4410824,259.1,262.8307092,23.34234234,0.985805657
AZ,Mohave,610,115482,10.4,0.8,209550,436.5,291.0999761,41.97115385,1.499484836
AZ,Navajo,188,59391,13.5,0.9,110445,270,170.2204717,20,1.586178191
AZ,Pima,3727,414265,9.9,0.3,1039073,268.2,358.6850972,27.09090909,0.747731094
AZ,Pinal,401,169583,8.8,0.5,447138,235,89.68148536,26.70454545,2.620384788
AZ,Santa Cruz,25,24658,11.6,1.8,46511,245.1,53.75072563,21.12931034,4.55993844
AZ,Yavapai,379,112248,10.4,0.8,231993,272,163.3669981,26.15384615,1.664962955
AZ,Yuma,457,94512,13.3,1.1,212128,251.5,215.4359632,18.90977444,1.167400263
CA,Alameda,2869,497191,5.1,0.1,1666753,218,172.1310836,42.74509804,1.266476661
CA,Alpine,NA,605,10.3,4,1101,319.7,NA,31.03883495,NA
CA,Amador,52,17120,4.2,0.8,39383,293.5,132.0366656,69.88095238,2.222867404
CA,Butte,471,105345,7.4,0.5,231256,342,203.6703913,46.21621622,1.679183694
CA,Calaveras,25,22096,5.2,1.4,45602,301.1,54.82215692,57.90384615,5.49230488
CA,Colusa,42,10046,10.3,1.8,21627,309.9,194.2016923,30.08737864,1.595763643
CA,Contra Costa,1696,355628,5.7,0.2,1150215,213,147.450694,37.36842105,1.444550678
CA,Del Norte,49,13596,6.3,1.5,27828,305.2,176.0816444,48.44444444,1.733286857
CA,El Dorado,190,67750,5.2,0.6,190678,256.6,99.64442673,49.34615385,2.575156568
CA,Fresno,1905,471275,9.5,0.3,994400,326,191.5728077,34.31578947,1.701702887
CA,Glenn,47,13665,9.6,1.6,28047,339.2,167.5758548,35.33333333,2.024157957
CA,Humboldt,276,65631,9.7,0.7,136373,321.7,202.3861028,33.16494845,1.589536018
CA,Imperial,268,88182,9.3,0.9,181827,266.8,147.3928514,28.68817204,1.810128493
CA,Inyo,29,7352,6.4,1.1,17987,312.1,161.2275532,48.765625,1.935773345
CA,Kern,1560,401660,9,0.4,896764,379.3,173.9588119,42.14444444,2.180401187
CA,Kings,173,59881,8.2,0.8,151366,336.6,114.2925095,41.04878049,2.94507489
CA,Lake,62,37606,9.5,1,64382,316.9,96.30020813,33.35789474,3.290750935
CA,Lassen,25,8672,5.7,1.3,30802,342.1,81.16356081,60.01754386,4.21494568
CA,Los Angeles,23853,3809323,10.8,0.1,10105518,290.2,236.0393599,26.87037037,1.229455969
CA,Madera,464,77490,9.4,0.9,157672,289.2,294.2818002,30.76595745,0.982731517
CA,Marin,441,82068,4,0.4,259666,182.4,169.8335554,45.6,1.073992707
CA,Mariposa,18,8584,4.9,1.1,17471,341.2,103.0278748,69.63265306,3.311725111
CA,Mendocino,142,47743,9.3,1,87606,285.8,162.0893546,30.7311828,1.763224986
CA,Merced,242,137831,8.7,0.6,274765,323.2,88.07526432,37.14942529,3.66958876
CA,Modoc,20,4697,12.3,3.7,8777,355,227.8682921,28.86178862,1.5579175
CA,Mono,17,4150,16.6,3.5,14250,225.4,119.2982456,13.57831325,1.889382353
CA,Monterey,747,171343,11.2,0.5,435594,209.7,171.4899654,18.72321429,1.222812072
CA,Napa,510,47481,6.5,0.7,139417,256.2,365.8090477,39.41538462,0.7003654
CA,Nevada,137,42920,7.8,0.9,99696,266.6,137.41775,34.17948718,1.940069606
CA,Orange,5952,1015430,8.4,0.2,3185968,254.4,186.8192022,30.28571429,1.361744387
CA,Placer,748,118707,4.7,0.3,393149,245.7,190.2586551,52.27659574,1.291399857
CA,Plumas,35,9297,3.5,1.1,18804,310.5,186.1306105,88.71428571,1.668183429
CA,Riverside,3537,957864,10,0.2,2450758,336.2,144.3226953,33.62,2.32950195
CA,Sacramento,3345,594627,6.3,0.2,1540975,294.2,217.0703613,46.6984127,1.355320912
CA,San Benito,25,21434,7.4,1,61537,242.4,40.62596487,32.75675676,5.96662752
CA,San Bernardino,4729,871208,9.4,0.2,2171603,359.8,217.7654019,38.27659574,1.652236751
CA,San Diego,6658,1056014,8.7,0.2,3343364,251.3,199.1407457,28.88505747,1.261921558
CA,San Francisco,2848,252110,4.4,0.2,883305,212.9,322.4254363,48.38636364,0.660307705
CA,San Joaquin,2161,311190,7.5,0.3,752660,308,287.115032,41.06666667,1.072740768
CA,San Luis Obispo,780,95173,7.5,0.6,284010,240.8,274.638217,32.10666667,0.876789846
CA,San Mateo,1618,211256,4.8,0.3,769545,211.3,210.2541112,44.02083333,1.004974404
CA,Santa Barbara,826,161408,10.6,0.4,446527,254.1,184.9832149,23.97169811,1.373638144
CA,Santa Clara,3667,513162,4.8,0.1,1937570,193.9,189.2576784,40.39583333,1.024529106
CA,Santa Cruz,372,95639,6.2,0.5,274255,215.1,135.6401889,34.69354839,1.585813185
CA,Shasta,590,85500,7.5,0.6,180040,378.7,327.7049545,50.49333333,1.155612678
CA,Sierra,NA,1403,10.2,5,2987,345.9,NA,33.91176471,NA
CA,Siskiyou,61,23976,7,0.8,43724,343.2,139.5114811,49.02857143,2.46001259
CA,Solano,1519,155354,5.6,0.4,446610,239.9,340.1177761,42.83928571,0.705343904
CA,Sonoma,817,179416,6.9,0.4,499942,249.8,163.4189566,36.20289855,1.528586433
CA,Stanislaus,1394,246690,6.5,0.3,549815,361,253.539827,55.53846154,1.423839419
CA,Sutter,30,44432,9.6,1,96807,309.3,30.98949456,32.21875,9.9808017
CA,Tehama,92,33186,7.3,0.8,63916,363,143.9389198,49.7260274,2.521903043
CA,Trinity,25,7002,11.3,2.6,12535,324.3,199.4415636,28.69911504,1.6260402
CA,Tulare,830,244422,9.8,0.5,465861,364.6,178.1647315,37.20408163,2.04642073
CA,Tuolumne,72,24538,5.7,1,54539,321.6,132.0156218,56.42105263,2.436075333
CA,Ventura,1379,277881,9.3,0.3,850967,255.4,162.0509373,27.46236559,1.576047656
CA,Yolo,122,68326,5.9,0.6,220408,245.7,55.35189285,41.6440678,4.43887259
CA,Yuba,221,34119,8,0.9,78041,392.5,283.18448,49.0625,1.386022285
CO,Adams,1733,163995,11.1,0.5,511868,257.6,338.5638485,23.20720721,0.760860916
CO,Alamosa,49,7739,14,3,16683,349.3,293.7121621,24.95,1.189259571
CO,Arapahoe,1233,182531,8.2,0.4,651215,223.5,189.3383905,27.25609756,1.180426217
CO,Archuleta,11,5952,11.1,2.2,13765,236.6,79.91282238,21.31531532,2.960726364
CO,Baca,23,1819,6.8,1.9,3585,325.3,641.5620642,47.83823529,0.507043696
CO,Bent,NA,2387,9.5,3,5882,338,NA,35.57894737,NA
CO,Boulder,856,82113,5,0.3,326078,200,262.513877,40,0.761864486
CO,Broomfield,40,14524,4.7,0.9,69267,198,57.74755656,42.12765957,3.4287165
CO,Chaffee,25,7594,10.4,2.4,20027,223.1,124.8314775,21.45192308,1.78720948
CO,Cheyenne,25,712,11.2,4.2,1876,272.5,1332.622601,24.33035714,0.204484
CO,Clear Creek,NA,2733,9,2.7,9605,220.5,NA,24.5,NA
CO,Conejos,17,4463,13.5,3.1,8200,329.1,207.3170732,24.37777778,1.587423529
CO,Costilla,NA,2434,11.6,3.6,3828,242.9,NA,20.93965517,NA
CO,Crowley,NA,2696,7,2.7,5858,272.5,NA,38.92857143,NA
CO,Custer,NA,2787,15.5,5.5,4954,235.6,NA,15.2,NA
CO,Delta,49,15390,10.2,1.4,30953,317.2,158.3045262,31.09803922,2.00373298
CO,Denver,3071,228241,10.3,0.3,716492,261.9,428.6160906,25.42718447,0.611036323
CO,Dolores,NA,869,5.1,3,2074,226.5,NA,44.41176471,NA
CO,Douglas,778,57884,2.9,0.3,342776,165,226.970383,56.89655172,0.726967095
CO,Eagle,56,11606,15.1,1.9,54993,123.2,101.8311421,8.158940397,1.209846
CO,El Paso,1412,224198,7.4,0.4,713856,267.5,197.7989959,36.14864865,1.352383003
CO,Elbert,NA,7119,5.8,1.5,26282,257.5,NA,44.39655172,NA
CO,Fremont,25,19362,7.1,1.4,48021,297.1,52.06055684,41.84507042,5.70681564
CO,Garfield,103,17759,17.1,1.7,59770,226.1,172.3272545,13.22222222,1.312038544
CO,Gilpin,NA,1610,4.6,1.9,6121,243.6,NA,52.95652174,NA
CO,Grand,23,4811,14.8,2.9,15525,164.1,148.1481481,11.08783784,1.107675
CO,Gunnison,24,4733,10.8,2.3,17246,177.3,139.1627044,16.41666667,1.27404825
CO,Hinsdale,NA,379,10.3,4.5,811,227.6,NA,22.09708738,NA
CO,Huerfano,20,3433,8.6,3.5,6889,284.1,290.3178981,33.03488372,0.97858245
CO,Jackson,NA,614,10.6,4.8,1399,222.8,NA,21.01886792,NA
CO,Jefferson,633,159617,5.8,0.3,580233,261.1,109.0941053,45.01724138,2.393346545
CO,Kiowa,25,562,5.9,2.5,1383,340,1807.664497,57.62711864,0.188088
CO,Kit Carson,19,2539,12.6,4.6,7163,263.6,265.2519894,20.92063492,0.993772
CO,La Plata,94,17032,9.1,1.2,56310,255.2,166.9330492,28.04395604,1.528756596
CO,Lake,25,2734,14.7,3.9,7824,142.1,319.5296524,9.666666667,0.44471616
CO,Larimer,650,97489,6.3,0.5,350518,220.6,185.4398348,35.01587302,1.189604166
CO,Las Animas,25,7198,9.3,2.2,14503,302,172.3781287,32.47311828,1.7519624
CO,Lincoln,15,1427,4,2.1,5610,254.6,267.3796791,63.65,0.952204
CO,Logan,25,8791,9.1,2,21528,283.5,116.1278335,31.15384615,2.4412752
CO,Mesa,548,63485,10.1,1.1,153207,324.7,357.6860065,32.14851485,0.907779432
CO,Mineral,NA,382,8.3,3.7,776,269.8,NA,32.5060241,NA
CO,Moffat,25,4083,13.5,3.5,13188,263.8,189.5662724,19.54074074,1.39159776
CO,Montezuma,25,12762,12.9,1.9,26158,263.8,95.57305604,20.4496124,2.76019216
CO,Montrose,75,20805,10.9,1.4,42214,283.2,177.6661771,25.98165138,1.59400064
CO,Morgan,75,11753,7.9,1.3,28558,256.8,262.623433,32.50632911,0.97782592
CO,Otero,25,9392,9.6,2,18432,376.1,135.6336806,39.17708333,2.77291008
CO,Ouray,NA,1907,10.1,3.5,4833,138.5,NA,13.71287129,NA
CO,Park,NA,6183,7.3,2,18556,212,NA,29.04109589,NA
CO,Phillips,40,1578,15.6,5.1,4286,286.4,933.2711153,18.35897436,0.3068776
CO,Pitkin,25,4152,13.4,2.8,17950,96.6,139.275766,7.208955224,0.693588
CO,Prowers,25,6061,10.8,2,12164,311.3,205.5244985,28.82407407,1.51466128
CO,Pueblo,1252,82650,7,0.6,167529,239.4,747.3332975,34.2,0.320338998
CO,Rio Blanco,35,2064,8.1,3.1,6336,256.2,552.3989899,31.62962963,0.4637952
CO,Rio Grande,17,5481,10.8,2.8,11250,310,151.1111111,28.7037037,2.051470588
CO,Routt,39,5773,8.1,1.6,25733,158.5,151.5563673,19.56790123,1.045815513
CO,Saguache,NA,3668,16.5,3.5,6843,270.9,NA,16.41818182,NA
CO,San Juan,NA,247,9.7,4.5,762,219.7,NA,22.64948454,NA
CO,San Miguel,NA,1982,8,1.5,8191,77.2,NA,9.65,NA
CO,Sedgwick,15,1208,7.7,2.7,2303,300.8,651.3243595,39.06493506,0.461828267
CO,Summit,35,6440,18.5,4,31007,102.2,112.8777373,5.524324324,0.9054044
CO,Teller,15,9690,9.1,1.6,25083,256.2,59.80145916,28.15384615,4.2841764
CO,Washington,NA,2080,5,1.4,4909,245.7,NA,49.14,NA
CO,Weld,428,92285,7.8,0.4,314305,239.3,136.1734621,30.67948718,1.757317442
CO,Yuma,30,3839,11.3,2.4,10020,278.7,299.4011976,24.66371681,0.930858
CT,Fairfield,1694,282214,8.7,0.3,943823,259.9,179.4828056,29.87356322,1.448049573
CT,Hartford,3065,316463,4.4,0.2,892697,279,343.3415817,63.40909091,0.812601837
