"State","County","NUM_LICENSED_BEDS","Population with public coverage","Percent of pop w/no health insurance","margin of error","PopEstimate2018","Heart Disease Mortality","adjusted_beds","inquiry1","inquiry2"
"AK","Aleutians East",NA,696,45.6,3.1,3515,172.9,NA,NA,3.79166666666667
"AK","Aleutians West",NA,707,18.8,2.5,5723,172.2,NA,NA,9.15957446808511
"AK","Anchorage",1152,81787,12.2,0.7,291538,243.3,395.145744294054,0.615722182291667,19.9426229508197
"AK","Bethel",50,9375,20.7,1.6,18216,337.1,274.483970136144,1.22812272,16.2850241545894
"AK","Bristol Bay",NA,219,19.8,3.5,877,-1,NA,NA,-0.0505050505050505
"AK","Denali",NA,310,19.2,5.9,2059,240.9,NA,NA,12.546875
"AK","Dillingham",16,2260,22.4,2,5000,366.5,320,1.1453125,16.3616071428571
"AK","Fairbanks North Star",175,23341,10,1.2,98971,276.7,176.819472370694,1.56487289714286,27.67
"AK","Haines",NA,978,15.5,5.4,2474,261,NA,NA,16.8387096774194
"AK","Hoonah-Angoon",NA,868,25.1,3.3,2151,272,NA,NA,10.8366533864542
"AK","Juneau",73,8493,11.1,1.8,32113,266.8,227.322268240277,1.17366416438356,24.036036036036
"AK","Kenai Peninsula",77,20189,17.2,1.4,58533,284.2,131.549724087267,2.16039981818182,16.5232558139535
"AK","Ketchikan Gateway",25,4573,13.2,1.6,13918,277.8,179.623509124874,1.54656816,21.0454545454545
"AK","Kodiak Island",25,3713,20.3,3.1,13345,290.3,187.336080929187,1.5496214,14.3004926108374
"AK","Kusilvak",NA,5330,21.1,1.3,8303,95.2,NA,NA,4.51184834123223
"AK","Lake and Peninsula",NA,522,31.6,4.6,1587,289.5,NA,NA,9.16139240506329
"AK","Matanuska-Susitna",125,33166,15.2,0.9,107610,228.3,116.160208159093,1.96538904,15.0197368421053
"AK","Nome",18,4484,22.5,1.5,10008,471.8,179.856115107914,2.623208,20.9688888888889
"AK","North Slope",10,2185,20.8,2.9,9872,332.5,101.29659643436,3.28244,15.9855769230769
"AK","Northwest Arctic",17,3516,27.6,1.6,7671,392,221.613870421066,1.76884235294118,14.2028985507246
"AK","Petersburg",12,1321,9.1,3.1,3221,244.3,372.555107109593,0.655741916666667,26.8461538461538
"AK","Prince of Wales-Hyder",NA,2542,25.9,1.7,6422,289.4,NA,NA,11.1737451737452
"AK","Sitka",25,2108,18.3,2.5,8647,283.5,289.117613044987,0.9805698,15.4918032786885
"AK","Skagway",NA,213,18.9,4.8,1148,-1,NA,NA,-0.0529100529100529
"AK","Southeast Fairbanks",NA,2501,15.6,2.7,6918,254.4,NA,NA,16.3076923076923
"AK","Valdez-Cordova",24,2378,15.7,2.7,9164,239.2,261.894369271061,0.913345333333333,15.2356687898089
"AK","Wrangell",8,1027,15,3.5,2503,256.7,319.616460247703,0.803150125,17.1133333333333
"AK","Yakutat",NA,237,20.5,4.4,604,-1,NA,NA,-0.0487804878048781
"AK","Yukon-Koyukuk",NA,2421,29.2,1.9,5327,280.6,NA,NA,9.60958904109589
"AL","Autauga",85,18191,7.1,0.9,55601,388.7,152.874948292297,2.54260102352941,54.7464788732394
"AL","Baldwin",386,72322,10.2,0.8,218022,362.6,177.046353120327,2.04805122279793,35.5490196078431
"AL","Barbour",74,11508,11.2,1.6,24881,444.3,297.415698725935,1.49386868918919,39.6696428571429
"AL","Bibb",35,7748,7.9,1.9,22400,491.8,156.25,3.14752,62.253164556962
"AL","Blount",25,19752,11,1.3,57840,437.9,43.222683264177,10.1312544,39.8090909090909
"AL","Bullock",61,4385,10.8,3.4,10138,456.3,601.696587098047,0.758355639344262,42.25
"AL","Butler",72,8613,10.2,1.7,19680,456.4,365.853658536585,1.24749333333333,44.7450980392157
"AL","Calhoun",486,46695,9.4,0.7,114277,630.3,425.282427785119,1.48207393209877,67.0531914893617
"AL","Chambers",115,13996,10.8,1.4,33615,366.8,342.109177450543,1.07217234782609,33.962962962963
"AL","Cherokee",60,11059,8.3,1.7,26032,442.1,230.485556238476,1.91812453333333,53.2650602409639
"AL","Chilton",30,16253,14.2,1.6,44153,522.4,67.9455529635585,7.68850906666667,36.7887323943662
"AL","Choctaw",25,6175,11.4,2.2,12841,548.3,194.688887158321,2.81628812,48.0964912280702
"AL","Clarke",85,11320,10.8,1.6,23920,472.4,355.351170568562,1.32938917647059,43.7407407407407
"AL","Clay",45,5571,10.2,2.1,13275,521.6,338.983050847458,1.53872,51.1372549019608
"AL","Cleburne",NA,5976,12.8,1.8,14987,557.8,NA,NA,43.578125
"AL","Coffee",131,18897,10.1,1.1,51909,473.3,252.364715174633,1.87546028244275,46.8613861386139
"AL","Colbert",383,20614,8.1,1,54762,454.1,699.390088017238,0.649280005221932,56.0617283950617
"AL","Conecuh",58,5484,14.5,3.4,12277,436.3,472.428117618311,0.92352674137931,30.0896551724138
"AL","Coosa",NA,4851,7.8,2.7,10715,472.5,NA,NA,60.5769230769231
"AL","Covington",187,14408,11.2,1.4,36986,493.3,505.596712269507,0.975678812834225,44.0446428571429
"AL","Crenshaw",93,5499,10,1.7,13824,458.1,672.743055555556,0.680943483870968,45.81
"AL","Cullman",185,30468,11.8,1.1,83442,507.6,221.710889000743,2.28946806486486,43.0169491525424
"AL","Dale",89,19029,11.4,1.3,48956,420.2,181.795898357709,2.31138328089888,36.859649122807
"AL","Dallas",175,19993,12,1.4,38310,614.8,456.799791177238,1.34588502857143,51.2333333333333
"AL","DeKalb",134,28734,14.5,1.2,71385,487.8,187.714505848568,2.59862708955224,33.6413793103448
"AL","Elmore",138,25108,8.2,1.1,81887,452,168.52491848523,2.68209594202899,55.1219512195122
"AL","Escambia",142,13099,15.5,1.7,36748,421.6,386.415587242843,1.09105329577465,27.2
"AL","Etowah",739,41395,10.4,0.7,102501,531.9,720.968575916332,0.737757535859269,51.1442307692308
"AL","Fayette",61,7651,8.8,1.8,16433,495.5,371.204284062557,1.33484450819672,56.3068181818182
"AL","Franklin",125,11794,12.8,2,31363,472.1,398.558811338201,1.184517784,36.8828125
"AL","Geneva",83,11689,13.7,1.5,26314,455.3,315.421448658509,1.44346556626506,33.2335766423358
"AL","Greene",20,4817,11.4,3.1,8233,504.7,242.924814769829,2.07759755,44.2719298245614
"AL","Hale",39,7362,8.8,1.7,14726,500.2,264.837702023632,1.8887038974359,56.8409090909091
"AL","Henry",NA,7314,11.4,2.3,17209,409.8,NA,NA,35.9473684210526
"AL","Houston",790,41174,10.4,0.5,104722,363.3,754.378258627605,0.481588640506329,34.9326923076923
"AL","Jackson",170,20880,9.6,0.9,51736,523.4,328.591309726303,1.59286014117647,54.5208333333333
"AL","Jefferson",4768,228387,9.5,0.4,659300,369.8,723.191263461247,0.511344672818792,38.9263157894737
"AL","Lamar",NA,5975,9.4,2.5,13844,439.9,NA,NA,46.7978723404255
"AL","Lauderdale",263,33158,9.1,0.9,92387,399.4,284.672085899531,1.40301778707224,43.8901098901099
"AL","Lawrence",98,12837,8.2,1,32957,479.4,297.357162363079,1.61220263265306,58.4634146341463
"AL","Lee",314,43481,7.9,0.8,163941,318.8,191.532319553986,1.66447104458599,40.3544303797468
"AL","Limestone",102,28534,9.6,1,96174,423.3,106.057770291347,3.991221,44.09375
"AL","Lowndes",NA,5326,9.2,1.5,9974,392,NA,NA,42.6086956521739
"AL","Macon",143,8744,8.1,1.2,18439,537.9,775.530126362601,0.693590076923077,66.4074074074074
"AL","Madison",1241,102618,8.9,0.5,366519,385.9,338.590905246386,1.13972346575342,43.3595505617977
"AL","Marengo",99,8567,9.6,2,19066,611.7,519.24892478758,1.1780476969697,63.71875
"AL","Marion",120,12059,10.5,2.1,29763,553.3,403.18516278601,1.372322325,52.6952380952381
"AL","Marshall",150,37084,13.1,1,96109,467.9,156.072792350352,2.99796007333333,35.7175572519084
"AL","Mobile",1930,155164,11.6,0.5,413757,446.3,466.457365071769,0.956786264766839,38.4741379310345
"AL","Monroe",94,9582,13.4,2.2,21067,386.7,446.195471590639,0.866660521276596,28.8582089552239
"AL","Montgomery",1204,86244,10.5,0.6,225763,329,533.302622661818,0.616910523255814,31.3333333333333
"AL","Morgan",273,42078,10.2,0.9,119089,470.3,229.240316066135,2.05155885347985,46.1078431372549
"AL","Perry",NA,4784,12.7,3.1,9140,513.7,NA,NA,40.4488188976378
"AL","Pickens",NA,8467,8.5,1.4,19938,453,NA,NA,53.2941176470588
"AL","Pike",97,11817,9.6,1.8,33338,419.6,290.959265702802,1.44212626804124,43.7083333333333
"AL","Randolph",15,9073,10.5,2,22725,569.8,66.006600660066,8.63247,54.2666666666667
"AL","Russell",128,23512,13.4,1.4,57781,400.8,221.526107197868,1.8092675625,29.910447761194
"AL","Shelby",286,50846,6.8,0.6,215707,299.9,132.587259569694,2.26190661888112,44.1029411764706
"AL","St. Clair",40,27106,8.8,1.2,88690,435.3,45.1009132934942,9.65168925,49.4659090909091
"AL","Sumter",33,5918,15.5,2.9,12691,434.6,260.026790639036,1.67136624242424,28.0387096774194
"AL","Talladega",290,34250,9.3,0.9,79828,513.1,363.281054266673,1.41240506206897,55.1720430107527
"AL","Tallapoosa",127,18150,8.1,1.2,40497,460.1,313.603476800751,1.46713934645669,56.8024691358025
"AL","Tuscaloosa",1099,62124,7.5,0.5,208911,449.2,526.061337124421,0.853892822565969,59.8933333333333
"AL","Walker",267,26254,11,1,63711,769,419.079907708245,1.83497224719101,69.9090909090909
"AL","Washington",25,7591,9.6,2.1,16378,427.8,152.643790450604,2.80260336,44.5625
"AL","Wilcox",30,5891,11.6,2.1,10627,547.1,282.299802390138,1.93801056666667,47.1637931034483
"AL","Winston",49,10262,12.3,1.9,23660,451.7,207.100591715976,2.18106571428571,36.7235772357724
"AR","Arkansas",74,9137,6.8,1.3,17769,451.6,416.455624964826,1.08438924324324,66.4117647058824
"AR","Ashley",33,10604,9.2,1.5,20046,435.3,164.621370847052,2.64424963636364,47.3152173913044
"AR","Baxter",268,21767,5.6,1,41619,326.8,643.936663543093,0.507503328358209,58.3571428571429
"AR","Benton",342,76716,9.4,0.5,272608,328.2,125.454865594553,2.61608028070175,34.9148936170213
"AR","Boone",174,18210,6.8,1.5,37480,528.9,464.247598719317,1.13926275862069,77.7794117647059
